orign,origin,phonetic,parts_of_speech,postitive_degree
とことこ,とことこ,副詞,-0.126146,
わんさと,わんさと,副詞,-0.127052,
口ずから,くちずから,副詞,-0.127281,
嘸かし,さぞかし,副詞,-0.127615,
ふいと,ふいと,副詞,-0.128233,
所詮,しょせん,副詞,-0.128734,
むっつり,むっつり,副詞,-0.130308,
やっぱり,やっぱり,副詞,-0.130857,
取急ぎ,とりいそぎ,副詞,-0.131286,
願わくは,ねがわくは,副詞,-0.133194,
無論,むろん,副詞,-0.133712,
薄薄,うすうす,副詞,-0.135323,
ひりりと,ひりりと,副詞,-0.136821,
嫌嫌,いやいや,副詞,-0.137052,
まずまず,まずまず,副詞,-0.13712,
なんぼ,なんぼ,副詞,-0.138649,
にょきにょき,にょきにょき,副詞,-0.138728,
今更,いまさら,副詞,-0.139152,
嘸や,さぞや,副詞,-0.139394,
ぽんと,ぽんと,副詞,-0.140034,
冷や冷や,ひやひや,副詞,-0.140292,
どくどく,どくどく,副詞,-0.140412,
翻って,ひるがえって,副詞,-0.14082,
甚だ,はなはだ,副詞,-0.142632,
大して,たいして,副詞,-0.143023,
むらむら,むらむら,副詞,-0.145283,
ゆくりなく,ゆくりなく,副詞,-0.14607,
すたこら,すたこら,副詞,-0.146342,
案の定,あんのじょう,副詞,-0.147867,
さしむき,さしむき,副詞,-0.148812,
にっと,にっと,副詞,-0.149074,
軽軽,けいけい,副詞,-0.149308,
じめじめ,じめじめ,副詞,-0.152635,
しこしこ,しこしこ,副詞,-0.154415,
勿論,もちろん,副詞,-0.15474,
ひたひた,ひたひた,副詞,-0.155201,
こりこり,こりこり,副詞,-0.155213,
ぱちぱち,ぱちぱち,副詞,-0.158615,
一層,いっそう,副詞,-0.159097,
精精,せいぜい,副詞,-0.159274,
然,ぜん,副詞,-0.159576,
割方,わりかた,副詞,-0.159617,
縷縷,るる,副詞,-0.164017,
かっかと,かっかと,副詞,-0.164077,
にこり,にこり,副詞,-0.164496,
具に,つぶさに,副詞,-0.166044,
時たま,ときたま,副詞,-0.167238,
てっきり,てっきり,副詞,-0.168362,
白白,しらしら,副詞,-0.168769,
とても,とても,副詞,-0.169067,
ほのぼの,ほのぼの,副詞,-0.170595,
まにまに,まにまに,副詞,-0.172498,
ぱらりと,ぱらりと,副詞,-0.172887,
早早,はやばや,副詞,-0.174113,
ついぞ,ついぞ,副詞,-0.174702,
どっと,どっと,副詞,-0.175404,
二つながら,ふたつながら,副詞,-0.176301,
じくじく,じくじく,副詞,-0.178138,
でっぷり,でっぷり,副詞,-0.1796,
くるりと,くるりと,副詞,-0.179775,
ぐんと,ぐんと,副詞,-0.180111,
うねうね,うねうね,副詞,-0.180961,
況して,まして,副詞,-0.181581,
しんと,しんと,副詞,-0.182947,
年年歳歳,ねんねんさいさい,副詞,-0.183904,
でんと,でんと,副詞,-0.185492,
ちくりと,ちくりと,副詞,-0.186423,
ちりちり,ちりちり,副詞,-0.187134,
えて,えて,副詞,-0.187443,
ずらりと,ずらりと,副詞,-0.188313,
ぱくりと,ぱくりと,副詞,-0.190273,
ぜいぜい,ぜいぜい,副詞,-0.191025,
のたりのたり,のたりのたり,副詞,-0.191571,
尚更,なおさら,副詞,-0.193106,
元来,がんらい,副詞,-0.195367,
直に,じきに,副詞,-0.195847,
ぴょこんと,ぴょこんと,副詞,-0.19592,
格別,かくべつ,副詞,-0.196275,
のめのめ,のめのめ,副詞,-0.196545,
むっちり,むっちり,副詞,-0.198375,
ついと,ついと,副詞,-0.198978,
すかすか,すかすか,副詞,-0.20065,
何時ぞや,いつぞや,副詞,-0.200696,
ぴしゃりと,ぴしゃりと,副詞,-0.200757,
余計,よけい,副詞,-0.201416,
しんねりむっつり,しんねりむっつり,副詞,-0.202076,
はらりと,はらりと,副詞,-0.20297,
ちゃかちゃか,ちゃかちゃか,副詞,-0.203796,
ひょろりと,ひょろりと,副詞,-0.203811,
続続,ぞくぞく,副詞,-0.207257,
のんべんだらりと,のんべんだらりと,副詞,-0.208424,
やはり,やはり,副詞,-0.208898,
俄然,がぜん,副詞,-0.209842,
ほろりと,ほろりと,副詞,-0.21083,
がっぽり,がっぽり,副詞,-0.211896,
じいんと,じいんと,副詞,-0.211992,
篤と,とくと,副詞,-0.21257,
はっと,はっと,副詞,-0.212783,
ぽっと,ぽっと,副詞,-0.213312,
ぴいぴい,ぴいぴい,副詞,-0.214121,
ぐいっと,ぐいっと,副詞,-0.21462,
手当り次第,てあたりしだい,副詞,-0.214903,
と,と,副詞,-0.215793,
すらっと,すらっと,副詞,-0.216622,
だくだく,だくだく,副詞,-0.21664,
ぴしりと,ぴしりと,副詞,-0.22216,
